dataset,model,micro_f1_mean,macro_f1_mean,hamming_mean,micro_f1_std,macro_f1_std,hamming_std
blogcatalog,Baseline,0.1652,0.0245,0.1375,0.0,0.0,0.0
blogcatalog,DeepWalk,0.2851,0.1443,0.0317,0.0,0.0,0.0
blogcatalog,Node2Vec,0.2941,0.1476,0.0313,0.0,0.0,0.0
blogcatalog,Combined,0.3298,0.1764,0.031,0.0,0.0,0.0
ppi,Baseline,0.0937,0.0649,0.4419,0.0,0.0,0.0
ppi,DeepWalk,0.0882,0.066,0.0343,0.0,0.0,0.0
ppi,Node2Vec,0.0932,0.07,0.0343,0.0,0.0,0.0
ppi,Combined,0.1184,0.0944,0.0348,0.0,0.0,0.0
wikipedia,Baseline,0.3859,0.0292,0.0524,0.0,0.0,0.0
wikipedia,DeepWalk,0.3423,0.0415,0.0326,0.0,0.0,0.0
wikipedia,Node2Vec,0.3479,0.0475,0.0323,0.0,0.0,0.0
wikipedia,Combined,0.3744,0.063,0.0324,0.0,0.0,0.0
blogcatalog,GCN,0.12875852632710413,0.05401865656349836,0.1704239531675305,0.0010114310705017717,0.0003993313288371266,0.0017469779859224776
blogcatalog,GRAPHSAGE,0.17178786250427888,0.032847439936236386,0.07752961209093057,0.002658723772033174,0.002121312247544374,0.004912694021410826
blogcatalog,GAT,0.14567541010265322,0.023543944421191437,0.10842313285357397,0.03476523835929939,0.01144094594402845,0.05256746824386066
ppi,GCN,0.07862201811552594,0.06264663250106355,0.3376083009079118,0.0025538536487918016,0.00569363731181471,0.10192802350071764
ppi,GRAPHSAGE,0.11177711965172557,0.07482256800030225,0.21635278858625165,0.0029265092589475477,0.003181867653005535,0.010592689617741475
ppi,GAT,0.10580505456918535,0.05909177595177857,0.19087418936446174,0.0010095131248389541,0.001670322544421147,0.020475760974118535
wikipedia,GCN,0.37529273733019497,0.017621363186592798,0.03776673640167364,0.0007081815547692868,0.0012864253104938744,0.00014921906503856727
wikipedia,GRAPHSAGE,0.38363512496541524,0.022574832850326805,0.04023012552301255,0.0011930361067289123,0.0031308400827446854,0.002154062610984764
wikipedia,GAT,0.2528246729024353,0.013609104891276577,0.08259414225941424,0.15065463552746883,0.003922378478159509,0.06234975770692247
