model,dataset,micro_f1,macro_f1,hamming_loss
Baseline (degree + OvR LR),blogcatalog,0.1652,0.0245,0.1375
DeepWalk,blogcatalog,0.2851,0.1443,0.0317
Node2Vec,blogcatalog,0.2941,0.1476,0.0313
Combined (DW+N2V),blogcatalog,0.3298,0.1764,0.031
Baseline (degree + OvR LR),ppi,0.0937,0.0649,0.4419
DeepWalk,ppi,0.0882,0.066,0.0343
Node2Vec,ppi,0.0932,0.07,0.0343
Combined (DW+N2V),ppi,0.1184,0.0944,0.0348
Baseline (degree + OvR LR),wikipedia,0.3859,0.0292,0.0524
DeepWalk,wikipedia,0.3423,0.0415,0.0326
Node2Vec,wikipedia,0.3479,0.0475,0.0323
Combined (DW+N2V),wikipedia,0.3744,0.063,0.0324
